alert_id,row_index,timestamp,source_ip,destination_ip,predicted_class,true_class,confidence,simulated_campaign_id,correlation_group_id,is_correlated_campaign,kill_chain_stages_seen,matched_known_pattern,matched_pattern_similarity
ALERT-00324,131636,2026-08-12 09:17:00,10.0.134.78,192.168.118.165,DoS Hulk,DoS Hulk,0.999386816397264,,,False,,,
ALERT-00243,69437,2026-08-12 09:20:13,10.0.252.39,192.168.127.247,DDoS,DDoS,0.999684490932074,,,False,,,
ALERT-00041,128425,2026-08-12 09:21:08,10.0.202.180,192.168.28.98,DoS Hulk,DoS Hulk,0.9993868169882753,CAMP-0015,CORR-0019,False,impact,,
ALERT-00029,221914,2026-08-12 09:22:50,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9989934829826,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895
ALERT-00042,442528,2026-08-12 09:23:18,10.0.202.180,192.168.28.98,DoS GoldenEye,DoS GoldenEye,0.9875814834992972,CAMP-0015,CORR-0019,False,impact,,
ALERT-00240,144498,2026-08-12 09:23:50,10.0.60.220,192.168.199.106,DoS Hulk,DoS Hulk,0.999386864499175,,,False,,,
ALERT-00056,432825,2026-08-12 09:24:14,10.0.231.148,192.168.49.66,DDoS,DDoS,0.9996844976286016,CAMP-0021,CORR-0027,False,impact,,
ALERT-00030,309537,2026-08-12 09:24:18,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9990437556089408,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895
ALERT-00295,376650,2026-08-12 09:24:45,10.0.167.105,192.168.30.36,DDoS,DDoS,0.9996826651783016,,,False,,,
ALERT-00031,119186,2026-08-12 09:26:01,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9989503248771924,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895
ALERT-00057,24634,2026-08-12 09:26:15,10.0.231.148,192.168.49.66,DoS Hulk,DoS Hulk,0.9993868611680208,CAMP-0021,CORR-0027,False,impact,,
ALERT-00032,93665,2026-08-12 09:26:21,10.0.142.38,192.168.111.33,DDoS,DDoS,0.9996812393393786,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895
ALERT-00058,267,2026-08-12 09:26:25,10.0.231.148,192.168.49.66,DoS Hulk,DoS Hulk,0.9993868159508894,CAMP-0021,CORR-0027,False,impact,,
ALERT-00271,446625,2026-08-12 09:26:47,10.0.71.3,192.168.145.222,PortScan,PortScan,0.9991917849663728,,,False,,,
ALERT-00220,140584,2026-08-12 09:28:11,10.0.194.128,192.168.161.114,DDoS,DDoS,0.9996844219648672,,,False,,,
ALERT-00182,15236,2026-08-12 09:29:16,10.0.19.148,192.168.162.176,DDoS,DDoS,0.9996806264663448,,,False,,,
ALERT-00305,333318,2026-08-12 09:33:04,10.0.231.251,192.168.166.92,DoS Hulk,DoS Hulk,0.999386830449874,,,False,,,
ALERT-00293,155896,2026-08-12 09:34:31,10.0.235.157,192.168.57.166,DDoS,DDoS,0.999684500814566,,,False,,,
ALERT-00252,99119,2026-08-12 09:37:22,10.0.224.139,192.168.10.159,DoS Hulk,DoS Hulk,0.9993868405848564,,,False,,,
ALERT-00231,510612,2026-08-12 09:38:07,10.0.131.192,192.168.226.35,PortScan,PortScan,0.9989528753925822,,,False,,,
ALERT-00191,289693,2026-08-12 09:40:59,10.0.41.62,192.168.45.142,DoS Hulk,DoS Hulk,0.9993868141203331,,,False,,,
ALERT-00025,154870,2026-08-12 09:41:05,10.0.110.144,192.168.3.29,DDoS,DDoS,0.9996845033438548,CAMP-0010,CORR-0004,False,impact,,
ALERT-00285,359486,2026-08-12 09:41:07,10.0.206.30,192.168.120.247,DDoS,DDoS,0.9996845033085048,,,False,,,
ALERT-00143,107196,2026-08-12 09:41:30,10.0.102.242,192.168.184.51,DoS Hulk,DoS Hulk,0.9993868410883326,,,False,,,
ALERT-00026,363986,2026-08-12 09:41:53,10.0.110.144,192.168.3.29,DDoS,DDoS,0.9996817372417248,CAMP-0010,CORR-0004,False,impact,,
ALERT-00190,99092,2026-08-12 09:44:20,10.0.161.55,192.168.68.170,PortScan,PortScan,0.998983970899298,,,False,,,
ALERT-00027,441903,2026-08-12 09:44:22,10.0.110.144,192.168.3.29,Web Attack - XSS,BENIGN,0.6282509246394964,CAMP-0010,CORR-0004,False,impact,,
ALERT-00028,434223,2026-08-12 09:44:41,10.0.110.144,192.168.3.29,Botnet,BENIGN,0.9998765201253416,CAMP-0010,CORR-0004,False,impact,,
ALERT-00155,259829,2026-08-12 09:47:19,10.0.69.83,192.168.219.63,Botnet,BENIGN,0.8882916567053806,,,False,,,
ALERT-00307,338862,2026-08-12 09:50:03,10.0.243.218,192.168.211.117,DoS Hulk,DoS Hulk,0.999386107842456,,,False,,,
ALERT-00338,270838,2026-08-12 09:50:54,10.0.18.24,192.168.213.22,DoS Hulk,DoS Hulk,0.9993868141249084,,,False,,,
ALERT-00276,237041,2026-08-12 09:53:03,10.0.175.215,192.168.36.161,DDoS,DDoS,0.9996845034583274,,,False,,,
ALERT-00254,393979,2026-08-12 09:53:45,10.0.59.192,192.168.24.112,DoS Hulk,DoS Hulk,0.9994057223837618,,,False,,,
ALERT-00255,31,2026-08-12 09:54:53,10.0.195.163,192.168.181.224,DoS Hulk,DoS Hulk,0.999386839372709,,,False,,,
ALERT-00321,40005,2026-08-12 09:59:33,10.0.200.93,192.168.132.152,DoS Hulk,DoS Hulk,0.999386813864404,,,False,,,
ALERT-00225,14681,2026-08-12 10:01:57,10.0.142.105,192.168.24.58,PortScan,PortScan,0.99899252206089,,,False,,,
ALERT-00137,481651,2026-08-12 10:02:28,10.0.62.33,192.168.122.172,DDoS,DDoS,0.9996845031158572,,,False,,,
ALERT-00331,512578,2026-08-12 10:02:29,10.0.130.155,192.168.111.26,DoS Hulk,DoS Hulk,0.9993868175182954,,,False,,,
ALERT-00296,212125,2026-08-12 10:03:25,10.0.243.10,192.168.78.127,DoS Hulk,DoS Hulk,0.9993868205765192,,,False,,,
ALERT-00222,61911,2026-08-12 10:06:18,10.0.113.226,192.168.179.125,PortScan,PortScan,0.9991785126240438,,,False,,,
ALERT-00306,141629,2026-08-12 10:06:42,10.0.102.71,192.168.49.248,PortScan,PortScan,0.9991885870636996,,,False,,,
ALERT-00063,106914,2026-08-12 10:08:03,10.0.160.81,192.168.170.218,PortScan,PortScan,0.9991814052472968,CAMP-0023,CORR-0009,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9806709885597229
ALERT-00064,467323,2026-08-12 10:09:29,10.0.160.81,192.168.170.218,DDoS,DDoS,0.999681734737768,CAMP-0023,CORR-0009,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9806709885597229
ALERT-00065,137251,2026-08-12 10:11:48,10.0.160.81,192.168.170.218,DoS GoldenEye,DoS GoldenEye,0.9875783316411204,CAMP-0023,CORR-0009,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9806709885597229
ALERT-00316,26206,2026-08-12 10:11:58,10.0.29.170,192.168.222.7,PortScan,PortScan,0.9991803901659996,,,False,,,
ALERT-00098,399915,2026-08-12 10:12:49,10.0.235.218,192.168.32.117,PortScan,PortScan,0.9991814423486288,CAMP-0033,CORR-0028,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,1.0000001192092896
ALERT-00297,258609,2026-08-12 10:14:05,10.0.25.61,192.168.228.138,DoS SlowHTTPTest,DoS SlowHTTPTest,0.9996127351907608,,,False,,,
ALERT-00099,243023,2026-08-12 10:14:57,10.0.235.218,192.168.32.117,DoS Hulk,DoS Hulk,0.9993868163661636,CAMP-0033,CORR-0028,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,1.0000001192092896
ALERT-00198,119521,2026-08-12 10:17:40,10.0.39.233,192.168.69.212,DoS Hulk,DoS Hulk,0.999386814215478,,,False,,,
ALERT-00314,491678,2026-08-12 10:19:01,10.0.1.71,192.168.220.252,PortScan,PortScan,0.9991838280972312,,,False,,,
ALERT-00085,303288,2026-08-12 10:20:28,10.0.80.58,192.168.207.51,DoS GoldenEye,DoS GoldenEye,0.9874725175905208,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,1.0000001192092896
ALERT-00086,359827,2026-08-12 10:20:44,10.0.80.58,192.168.207.51,PortScan,PortScan,0.9989575136707584,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,1.0000001192092896
ALERT-00087,436217,2026-08-12 10:21:05,10.0.80.58,192.168.207.51,DoS GoldenEye,DoS GoldenEye,0.9875749968018926,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,1.0000001192092896
ALERT-00088,218160,2026-08-12 10:22:17,10.0.80.58,192.168.207.51,DDoS,DDoS,0.9996816485367868,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,1.0000001192092896
ALERT-00136,497746,2026-08-12 10:23:13,10.0.52.215,192.168.6.160,DoS Hulk,DoS Hulk,0.999386836016086,,,False,,,
ALERT-00113,411102,2026-08-12 10:23:27,10.0.36.39,192.168.60.99,DoS Hulk,DoS Hulk,0.9993865517598464,CAMP-0038,CORR-0034,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.9962522387504578
ALERT-00151,159984,2026-08-12 10:23:33,10.0.229.213,192.168.118.182,DoS Hulk,DoS Hulk,0.999387324346658,,,False,,,
ALERT-00226,394280,2026-08-12 10:24:05,10.0.119.243,192.168.31.166,DoS Hulk,DoS Hulk,0.9993868457547032,,,False,,,
ALERT-00299,509818,2026-08-12 10:24:23,10.0.108.151,192.168.191.187,PortScan,PortScan,0.9991798390217246,,,False,,,
ALERT-00114,348394,2026-08-12 10:24:31,10.0.36.39,192.168.60.99,PortScan,PortScan,0.9990621352754604,CAMP-0038,CORR-0034,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.9962522387504578
ALERT-00014,128009,2026-08-12 10:24:53,10.0.228.28,192.168.191.142,PortScan,PortScan,0.9991785578656792,CAMP-0006,CORR-0025,False,reconnaissance,,
ALERT-00015,117931,2026-08-12 10:26:12,10.0.228.28,192.168.191.142,PortScan,PortScan,0.999184297855861,CAMP-0006,CORR-0025,False,reconnaissance,,
ALERT-00264,399169,2026-08-12 10:26:16,10.0.231.74,192.168.174.140,Web Attack - XSS,BENIGN,0.545173279872488,,,False,,,
ALERT-00212,167810,2026-08-12 10:27:49,10.0.86.83,192.168.172.27,DoS Hulk,DoS Hulk,0.9994663939981044,,,False,,,
ALERT-00140,301415,2026-08-12 10:29:26,10.0.247.192,192.168.184.30,DDoS,DDoS,0.9996844972776614,,,False,,,
ALERT-00282,228683,2026-08-12 10:29:51,10.0.136.129,192.168.234.70,PortScan,PortScan,0.9991781791131952,,,False,,,
ALERT-00124,153299,2026-08-12 10:30:08,10.0.172.174,192.168.205.104,DoS GoldenEye,DoS GoldenEye,0.9875844149868094,,,False,,,
ALERT-00070,352015,2026-08-12 10:35:02,10.0.241.98,192.168.174.192,PortScan,PortScan,0.999183681820541,CAMP-0025,CORR-0031,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9274786710739136
ALERT-00315,87477,2026-08-12 10:35:17,10.0.253.34,192.168.139.65,Web Attack - Brute Force,Web Attack - Brute Force,0.6155942515900203,,,False,,,
ALERT-00208,41734,2026-08-12 10:35:40,10.0.148.11,192.168.196.194,DoS Hulk,DoS Hulk,0.9993868303967756,,,False,,,
ALERT-00071,116398,2026-08-12 10:37:49,10.0.241.98,192.168.174.192,DDoS,DDoS,0.9996785577675926,CAMP-0025,CORR-0031,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9274786710739136
ALERT-00259,211236,2026-08-12 10:38:20,10.0.136.106,192.168.145.175,Web Attack - XSS,BENIGN,0.6178791957431267,,,False,,,
ALERT-00128,62143,2026-08-12 10:39:14,10.0.110.35,192.168.222.119,DoS Slowloris,DoS Slowloris,0.997361764883592,,,False,,,
ALERT-00158,270305,2026-08-12 10:39:18,10.0.8.127,192.168.218.84,DoS Hulk,DoS Hulk,0.999386814213976,,,False,,,
ALERT-00072,190020,2026-08-12 10:40:24,10.0.241.98,192.168.174.192,PortScan,PortScan,0.9990008191937256,CAMP-0025,CORR-0031,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9274786710739136
ALERT-00179,485982,2026-08-12 10:40:41,10.0.121.123,192.168.113.88,DDoS,DDoS,0.9996844976289292,,,False,,,
ALERT-00170,199047,2026-08-12 10:41:06,10.0.81.31,192.168.191.138,DoS Hulk,DoS Hulk,0.9994307457002648,,,False,,,
ALERT-00073,452594,2026-08-12 10:41:51,10.0.241.98,192.168.174.192,DoS Hulk,DoS Hulk,0.9994803482964216,CAMP-0025,CORR-0031,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9274786710739136
ALERT-00238,51211,2026-08-12 10:43:01,10.0.97.117,192.168.239.83,DoS Hulk,DoS Hulk,0.9993868147341648,,,False,,,
ALERT-00161,366553,2026-08-12 10:44:20,10.0.143.3,192.168.133.243,DDoS,DDoS,0.9996720936336904,,,False,,,
ALERT-00169,410632,2026-08-12 10:45:10,10.0.79.65,192.168.60.31,DoS Hulk,DoS Hulk,0.9993868139258384,,,False,,,
ALERT-00173,128581,2026-08-12 10:46:00,10.0.153.73,192.168.252.26,PortScan,PortScan,0.9991830687007228,,,False,,,
ALERT-00059,273990,2026-08-12 10:47:36,10.0.176.185,192.168.241.190,DDoS,DDoS,0.9996845025138144,CAMP-0022,CORR-0014,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9432611465454102
ALERT-00196,468210,2026-08-12 10:48:02,10.0.202.203,192.168.161.151,DoS Hulk,DoS Hulk,0.9993868495617196,,,False,,,
ALERT-00060,122363,2026-08-12 10:49:19,10.0.176.185,192.168.241.190,PortScan,PortScan,0.9991801399209012,CAMP-0022,CORR-0014,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9432611465454102
ALERT-00280,257268,2026-08-12 10:49:39,10.0.84.192,192.168.107.45,DoS Hulk,DoS Hulk,0.999386813871048,,,False,,,
ALERT-00061,252520,2026-08-12 10:51:19,10.0.176.185,192.168.241.190,DoS Hulk,DoS Hulk,0.9993868145405987,CAMP-0022,CORR-0014,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9432611465454102
ALERT-00062,50380,2026-08-12 10:51:46,10.0.176.185,192.168.241.190,DoS Hulk,DoS Hulk,0.999386825878412,CAMP-0022,CORR-0014,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9432611465454102
ALERT-00189,173458,2026-08-12 10:53:28,10.0.246.190,192.168.26.243,DDoS,DDoS,0.9996845030802418,,,False,,,
ALERT-00074,94042,2026-08-12 10:54:47,10.0.214.1,192.168.78.74,DoS Hulk,DoS Hulk,0.999386843209894,CAMP-0026,CORR-0022,False,impact,,
ALERT-00129,2940,2026-08-12 10:55:35,10.0.13.67,192.168.98.84,DDoS,DDoS,0.999681907543046,,,False,,,
ALERT-00078,353444,2026-08-12 10:56:42,10.0.120.114,192.168.114.173,DDoS,DDoS,0.9996727290637036,CAMP-0027,CORR-0006,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9351955652236938
ALERT-00075,431699,2026-08-12 10:56:47,10.0.214.1,192.168.78.74,Botnet,Botnet,0.9998984645211604,CAMP-0026,CORR-0022,False,impact,,
ALERT-00079,393612,2026-08-12 10:59:02,10.0.120.114,192.168.114.173,PortScan,PortScan,0.9991809015953396,CAMP-0027,CORR-0006,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9351955652236938
ALERT-00076,116997,2026-08-12 10:59:25,10.0.214.1,192.168.78.74,DDoS,DDoS,0.999684500855018,CAMP-0026,CORR-0022,False,impact,,
ALERT-00080,422302,2026-08-12 11:01:13,10.0.120.114,192.168.114.173,DoS Hulk,DoS Hulk,0.999386818052278,CAMP-0027,CORR-0006,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9351955652236938
ALERT-00077,13735,2026-08-12 11:02:10,10.0.214.1,192.168.78.74,DDoS,DDoS,0.9995890170163602,CAMP-0026,CORR-0022,False,impact,,
ALERT-00185,422849,2026-08-12 11:03:15,10.0.156.153,192.168.203.159,DoS Hulk,DoS Hulk,0.9993868162706002,,,False,,,
ALERT-00205,486277,2026-08-12 11:05:01,10.0.155.65,192.168.7.24,DDoS,DDoS,0.9996815113029122,,,False,,,
ALERT-00312,321625,2026-08-12 11:07:14,10.0.54.151,192.168.56.209,DDoS,DDoS,0.9996817204162042,,,False,,,
ALERT-00035,119062,2026-08-12 11:09:17,10.0.192.40,192.168.237.239,DoS Hulk,DoS Hulk,0.9993868168932396,CAMP-0013,CORR-0017,False,impact,,
ALERT-00317,22403,2026-08-12 11:09:56,10.0.4.92,192.168.203.202,DoS Hulk,DoS Hulk,0.999386846727478,,,False,,,
ALERT-00036,399803,2026-08-12 11:10:08,10.0.192.40,192.168.237.239,DoS Hulk,DoS Hulk,0.9993868162456832,CAMP-0013,CORR-0017,False,impact,,
ALERT-00223,390456,2026-08-12 11:10:41,10.0.8.250,192.168.162.156,DoS Hulk,DoS Hulk,0.9993465473407334,,,False,,,
ALERT-00037,16217,2026-08-12 11:11:03,10.0.192.40,192.168.237.239,DDoS,DDoS,0.9996821304157856,CAMP-0013,CORR-0017,False,impact,,
ALERT-00144,450086,2026-08-12 11:12:37,10.0.152.177,192.168.213.161,DDoS,DDoS,0.9996844969599388,,,False,,,
ALERT-00165,357239,2026-08-12 11:12:52,10.0.24.76,192.168.57.104,DoS Hulk,DoS Hulk,0.9993868177802742,,,False,,,
ALERT-00038,183114,2026-08-12 11:12:58,10.0.192.40,192.168.237.239,DDoS,DDoS,0.9996810714838807,CAMP-0013,CORR-0017,False,impact,,
ALERT-00258,463100,2026-08-12 11:13:21,10.0.92.96,192.168.111.38,DoS Slowloris,BENIGN,0.4143239621416305,,,False,,,
ALERT-00006,138064,2026-08-12 11:13:24,10.0.239.90,192.168.226.18,DoS Hulk,DoS Hulk,0.9993868186840096,CAMP-0003,CORR-0029,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.9962522387504578
ALERT-00135,310353,2026-08-12 11:15:02,10.0.11.194,192.168.8.244,DDoS,DDoS,0.9996845032499062,,,False,,,
ALERT-00007,196405,2026-08-12 11:15:08,10.0.239.90,192.168.226.18,PortScan,PortScan,0.9990407571394568,CAMP-0003,CORR-0029,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.9962522387504578
ALERT-00266,505441,2026-08-12 11:16:35,10.0.77.164,192.168.247.109,DoS Hulk,DoS Hulk,0.999386816311945,,,False,,,
ALERT-00274,494508,2026-08-12 11:16:52,10.0.57.163,192.168.49.159,DoS Hulk,DoS Hulk,0.999386817276468,,,False,,,
ALERT-00215,222346,2026-08-12 11:17:50,10.0.10.117,192.168.23.81,DDoS,DDoS,0.9996844976403526,,,False,,,
ALERT-00262,352760,2026-08-12 11:18:42,10.0.37.60,192.168.119.164,DoS Hulk,BENIGN,0.8850393502510376,,,False,,,
ALERT-00138,238278,2026-08-12 11:19:56,10.0.145.243,192.168.56.120,DoS Hulk,DoS Hulk,0.9993868165566372,,,False,,,
ALERT-00159,228263,2026-08-12 11:21:05,10.0.125.55,192.168.91.205,DoS GoldenEye,DoS GoldenEye,0.9875771634876608,,,False,,,
ALERT-00022,30559,2026-08-12 11:23:03,10.0.198.34,192.168.164.251,Web Attack - XSS,BENIGN,0.3168521795271111,CAMP-0009,CORR-0018,False,impact,,
ALERT-00289,302640,2026-08-12 11:23:10,10.0.138.32,192.168.117.95,PortScan,PortScan,0.9991787645271528,,,False,,,
ALERT-00023,377231,2026-08-12 11:23:54,10.0.198.34,192.168.164.251,DDoS,DDoS,0.9996810713698756,CAMP-0009,CORR-0018,False,impact,,
ALERT-00288,17386,2026-08-12 11:24:25,10.0.24.203,192.168.102.4,DDoS,DDoS,0.9996844976290952,,,False,,,
ALERT-00195,43659,2026-08-12 11:24:28,10.0.19.176,192.168.60.237,DDoS,DDoS,0.9996844972833792,,,False,,,
ALERT-00248,155376,2026-08-12 11:24:44,10.0.249.40,192.168.20.121,Botnet,Botnet,0.9998984412359724,,,False,,,
ALERT-00318,50573,2026-08-12 11:24:55,10.0.151.83,192.168.5.45,DoS Hulk,DoS Hulk,0.9993868446819284,,,False,,,
ALERT-00050,41065,2026-08-12 11:24:58,10.0.46.149,192.168.247.252,DoS Hulk,DoS Hulk,0.9993868148767447,CAMP-0019,CORR-0035,False,impact,,
ALERT-00051,68434,2026-08-12 11:25:17,10.0.46.149,192.168.247.252,DoS Hulk,DoS Hulk,0.9993868541840716,CAMP-0019,CORR-0035,False,impact,,
ALERT-00052,104288,2026-08-12 11:25:54,10.0.46.149,192.168.247.252,DoS GoldenEye,DoS GoldenEye,0.9875732970737802,CAMP-0019,CORR-0035,False,impact,,
ALERT-00233,111732,2026-08-12 11:25:54,10.0.88.240,192.168.202.130,PortScan,PortScan,0.999031835773052,,,False,,,
ALERT-00024,75282,2026-08-12 11:25:57,10.0.198.34,192.168.164.251,DoS Hulk,DoS Hulk,0.9993868145369916,CAMP-0009,CORR-0018,False,impact,,
ALERT-00207,323080,2026-08-12 11:27:11,10.0.151.244,192.168.6.196,DoS Hulk,DoS Hulk,0.999386816417232,,,False,,,
ALERT-00168,214865,2026-08-12 11:27:57,10.0.85.91,192.168.180.117,DDoS,DDoS,0.9996676780347942,,,False,,,
ALERT-00122,454905,2026-08-12 11:29:03,10.0.230.57,192.168.125.57,DoS Hulk,DoS Hulk,0.9993868181117316,,,False,,,
ALERT-00175,142469,2026-08-12 11:29:48,10.0.4.182,192.168.137.33,PortScan,PortScan,0.9990362804480332,,,False,,,
ALERT-00160,431317,2026-08-12 11:30:52,10.0.88.72,192.168.226.153,SSH-Patator,SSH-Patator,0.999922114663642,,,False,,,
ALERT-00171,282592,2026-08-12 11:31:00,10.0.50.56,192.168.190.124,DDoS,DDoS,0.9996818029347636,,,False,,,
ALERT-00020,308065,2026-08-12 11:31:06,10.0.24.163,192.168.109.213,DoS Hulk,DoS Hulk,0.9993871582015736,CAMP-0008,CORR-0030,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.9962522387504578
ALERT-00021,301119,2026-08-12 11:31:27,10.0.24.163,192.168.109.213,PortScan,PortScan,0.9991814402260262,CAMP-0008,CORR-0030,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.9962522387504578
ALERT-00209,322377,2026-08-12 11:31:54,10.0.121.133,192.168.167.114,DoS Hulk,DoS Hulk,0.999386814172234,,,False,,,
ALERT-00045,441069,2026-08-12 11:32:09,10.0.169.50,192.168.103.85,DoS Hulk,DoS Hulk,0.9993868193912854,CAMP-0017,CORR-0011,False,impact,,
ALERT-00046,489387,2026-08-12 11:32:36,10.0.169.50,192.168.103.85,DoS Hulk,DoS Hulk,0.9993868147267952,CAMP-0017,CORR-0011,False,impact,,
ALERT-00301,99721,2026-08-12 11:32:46,10.0.158.105,192.168.241.244,PortScan,PortScan,0.9991757470960896,,,False,,,
ALERT-00178,219741,2026-08-12 11:35:17,10.0.27.224,192.168.4.147,DDoS,DDoS,0.9996844963715414,,,False,,,
ALERT-00272,357975,2026-08-12 11:36:18,10.0.234.156,192.168.191.128,PortScan,PortScan,0.9990003129554046,,,False,,,
ALERT-00253,204672,2026-08-12 11:36:56,10.0.61.162,192.168.176.236,DDoS,DDoS,0.9996823614413094,,,False,,,
ALERT-00221,187185,2026-08-12 11:37:18,10.0.53.69,192.168.141.34,PortScan,PortScan,0.999032406466502,,,False,,,
ALERT-00193,337065,2026-08-12 11:37:20,10.0.121.75,192.168.9.60,DoS Hulk,DoS Hulk,0.999386847820961,,,False,,,
ALERT-00213,96302,2026-08-12 11:37:24,10.0.85.106,192.168.178.127,PortScan,PortScan,0.9991911528221372,,,False,,,
ALERT-00200,332353,2026-08-12 11:37:37,10.0.153.192,192.168.212.146,PortScan,PortScan,0.9989731272743508,,,False,,,
ALERT-00176,163432,2026-08-12 11:39:32,10.0.12.250,192.168.14.142,DDoS,DDoS,0.9996845034875672,,,False,,,
ALERT-00257,401901,2026-08-12 11:40:13,10.0.12.84,192.168.204.15,PortScan,PortScan,0.9991792519338728,,,False,,,
ALERT-00279,63303,2026-08-12 11:41:10,10.0.188.34,192.168.24.233,Botnet,BENIGN,0.999880667985034,,,False,,,
ALERT-00269,89250,2026-08-12 11:41:14,10.0.147.92,192.168.148.76,DoS Hulk,DoS Hulk,0.9993868721516412,,,False,,,
ALERT-00066,402518,2026-08-12 11:41:28,10.0.105.84,192.168.104.179,DDoS,DDoS,0.9996813746759228,CAMP-0024,CORR-0002,False,impact,,
ALERT-00234,37313,2026-08-12 11:43:03,10.0.211.1,192.168.73.186,DoS Hulk,DoS Hulk,0.999386824775931,,,False,,,
ALERT-00010,297686,2026-08-12 11:43:30,10.0.3.171,192.168.210.142,DoS Hulk,DoS Hulk,0.9993868888333414,CAMP-0005,CORR-0033,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.944947361946106
ALERT-00067,494939,2026-08-12 11:43:59,10.0.105.84,192.168.104.179,DoS Hulk,DoS Hulk,0.9993867398113794,CAMP-0024,CORR-0002,False,impact,,
