alert_id,row_index,timestamp,source_ip,destination_ip,predicted_class,true_class,confidence,simulated_campaign_id,correlation_group_id,is_correlated_campaign,kill_chain_stages_seen,matched_known_pattern,matched_pattern_similarity,priority_score,priority_bucket,effective_severity_score,own_severity_label,top_contributing_features
ALERT-00071,116398,2026-08-12 10:37:49,10.0.241.98,192.168.174.192,DDoS,DDoS,0.9996785577675926,CAMP-0025,CORR-0031,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9274789094924928,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.10279160885448929}, {""feature"": ""Destination Port"", ""shap_value"": 0.07414475280258681}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06741274905806552}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05940300440864039}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.05909959305397293}]"
ALERT-00032,93665,2026-08-12 09:26:21,10.0.142.38,192.168.111.33,DDoS,DDoS,0.9996812393393786,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09987080815851959}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.0674883565474149}, {""feature"": ""Destination Port"", ""shap_value"": 0.06745194921071035}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.06632546034262912}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.05524266723533692}]"
ALERT-00038,183114,2026-08-12 11:12:58,10.0.192.40,192.168.237.239,DDoS,DDoS,0.9996810714838807,CAMP-0013,CORR-0017,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.10082455162528245}, {""feature"": ""Destination Port"", ""shap_value"": 0.06945549614293331}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06643001836929016}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.06522349421317211}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.05635943221168285}]"
ALERT-00025,154870,2026-08-12 09:41:05,10.0.110.144,192.168.3.29,DDoS,DDoS,0.9996845033438548,CAMP-0010,CORR-0004,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07929224569754946}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.07892725584423978}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07412364720299032}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.07254910967021712}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.0705630107378698}]"
ALERT-00082,461061,2026-08-12 14:48:28,10.0.22.73,192.168.132.170,DDoS,DDoS,0.9996845022579064,CAMP-0028,CORR-0024,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08133488049340079}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.07206225224219658}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07198789625698691}, {""feature"": ""Fwd Packet Length Std"", ""shap_value"": 0.06532074460483192}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06337711223357748}]"
ALERT-00077,13735,2026-08-12 11:02:10,10.0.214.1,192.168.78.74,DDoS,DDoS,0.9995890170163602,CAMP-0026,CORR-0022,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08089528020739799}, {""feature"": ""Destination Port"", ""shap_value"": 0.07269556060862746}, {""feature"": ""Avg Bwd Segment Size"", ""shap_value"": 0.0677472680288643}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.06576184741925159}, {""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.0639202951870102}]"
ALERT-00059,273990,2026-08-12 10:47:36,10.0.176.185,192.168.241.190,DDoS,DDoS,0.9996845025138144,CAMP-0022,CORR-0014,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9432612657546996,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08021603583747165}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.07927211904827383}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07454658596640568}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.0700171018742322}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06272502488059761}]"
ALERT-00084,108175,2026-08-12 14:50:36,10.0.22.73,192.168.132.170,DDoS,DDoS,0.9996844964946492,CAMP-0028,CORR-0024,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08073887214847299}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07999885176225216}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07268435180239341}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06940335797182187}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06241824867364259}]"
ALERT-00081,169218,2026-08-12 14:45:40,10.0.22.73,192.168.132.170,DDoS,DDoS,0.9996817029630404,CAMP-0028,CORR-0024,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.10065600734695347}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06403941092127369}, {""feature"": ""Destination Port"", ""shap_value"": 0.06206160308205763}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05828151048438153}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04593163638885522}]"
ALERT-00076,116997,2026-08-12 10:59:25,10.0.214.1,192.168.78.74,DDoS,DDoS,0.999684500855018,CAMP-0026,CORR-0022,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07967564417275823}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.07932270482792865}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.0745124074270723}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.07020505596656178}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06212139902893334}]"
ALERT-00088,218160,2026-08-12 10:22:17,10.0.80.58,192.168.207.51,DDoS,DDoS,0.9996816485367868,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.828309953212738,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09789091223272804}, {""feature"": ""Destination Port"", ""shap_value"": 0.06294218836590239}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.061620208612958846}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05898107291610083}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.049545316461724616}]"
ALERT-00030,309537,2026-08-12 09:24:18,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9990437556089408,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895,93.4,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.10205417807381391}, {""feature"": ""Subflow Fwd Bytes"", ""shap_value"": 0.05082027665084716}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.049112088041321084}, {""feature"": ""Average Packet Size"", ""shap_value"": 0.047964901851859226}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.04419651663373351}]"
ALERT-00031,119186,2026-08-12 09:26:01,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9989503248771924,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895,93.39,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.10232324112692309}, {""feature"": ""Subflow Fwd Bytes"", ""shap_value"": 0.05143011310222816}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.04980579367449058}, {""feature"": ""Average Packet Size"", ""shap_value"": 0.04515682590866612}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.044391440365255004}]"
ALERT-00086,359827,2026-08-12 10:20:44,10.0.80.58,192.168.207.51,PortScan,PortScan,0.9989575136707584,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.828309953212738,93.39,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.10261207043314133}, {""feature"": ""Subflow Fwd Bytes"", ""shap_value"": 0.05141299773110378}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.04998677008609021}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.0450716651937144}, {""feature"": ""Average Packet Size"", ""shap_value"": 0.045024291152135555}]"
ALERT-00029,221914,2026-08-12 09:22:50,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9989934829826,CAMP-0011,CORR-0007,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.970011830329895,93.39,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.10249435168018715}, {""feature"": ""Subflow Fwd Bytes"", ""shap_value"": 0.05095191637423672}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.05072183752915496}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.0458003129865242}, {""feature"": ""Average Packet Size"", ""shap_value"": 0.045440570158384395}]"
ALERT-00087,436217,2026-08-12 10:21:05,10.0.80.58,192.168.207.51,DoS GoldenEye,DoS GoldenEye,0.9875749968018926,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.828309953212738,93.05,Critical,1.0,High,"[{""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07175845421244226}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06803883042963843}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06447705256034202}, {""feature"": ""Avg Bwd Segment Size"", ""shap_value"": 0.06373397081377967}, {""feature"": ""Packet Length Std"", ""shap_value"": 0.05039917761660014}]"
ALERT-00085,303288,2026-08-12 10:20:28,10.0.80.58,192.168.207.51,DoS GoldenEye,DoS GoldenEye,0.9874725175905208,CAMP-0029,CORR-0038,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.828309953212738,93.05,Critical,1.0,High,"[{""feature"": ""Flow IAT Std"", ""shap_value"": 0.05781961230956476}, {""feature"": ""Flow IAT Mean"", ""shap_value"": 0.05383801786359332}, {""feature"": ""Fwd IAT Mean"", ""shap_value"": 0.05331306138279753}, {""feature"": ""Flow IAT Min"", ""shap_value"": 0.050068002288284355}, {""feature"": ""Fwd IAT Min"", ""shap_value"": 0.04790031567867331}]"
ALERT-00047,289913,2026-08-12 13:52:50,10.0.165.131,192.168.103.174,Botnet,Botnet,0.9998984201712164,CAMP-0018,CORR-0010,True,"impact, reconnaissance",Reconnaissance-to-DoS Campaign,0.8977004289627075,91.56,Critical,1.0,Critical,"[{""feature"": ""Destination Port"", ""shap_value"": 0.13423477638156278}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.0925725465643142}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.083732286149881}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.04070901158506766}, {""feature"": ""Fwd IAT Mean"", ""shap_value"": 0.034875588163656907}]"
ALERT-00056,432825,2026-08-12 09:24:14,10.0.231.148,192.168.49.66,DDoS,DDoS,0.9996844976286016,CAMP-0021,CORR-0027,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.0809949416473344}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.0719856716078632}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07173698319647637}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.07087532976336085}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06567979156699968}]"
ALERT-00064,467323,2026-08-12 10:09:29,10.0.160.81,192.168.170.218,DDoS,DDoS,0.999681734737768,CAMP-0023,CORR-0009,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.890918493270874,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09767425696927785}, {""feature"": ""Destination Port"", ""shap_value"": 0.06280915464373378}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.061473730297424645}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05894839176277828}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.049521643079251436}]"
ALERT-00095,38198,2026-08-12 09:05:36,10.0.103.63,192.168.38.168,DDoS,DDoS,0.9996845029921824,CAMP-0031,CORR-0001,True,"credential_access, impact",Learned Pattern - credential_access + impact,0.9789164066314696,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08035205557868039}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07875413965618082}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07379714278718691}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.07051482770154488}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.07028324020026064}]"
ALERT-00116,346728,2026-08-12 12:47:29,10.0.105.85,192.168.139.120,DDoS,DDoS,0.999684497629089,CAMP-0039,CORR-0003,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08001479044142562}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07309326330522971}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07117006396051993}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06992590171960772}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06571102676264262}]"
ALERT-00117,216555,2026-08-12 12:48:31,10.0.105.85,192.168.139.120,DDoS,DDoS,0.9996818251517104,CAMP-0039,CORR-0003,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.10132082419799007}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.06102721001166099}, {""feature"": ""Destination Port"", ""shap_value"": 0.060173801240910194}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06012555883460896}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.048063478178874415}]"
ALERT-00003,160983,2026-08-12 13:53:37,10.0.160.145,192.168.26.19,DDoS,DDoS,0.999684495276069,CAMP-0002,CORR-0008,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.9829993844032288,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08082630527666006}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07977087360131419}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.0733487846630432}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.0690198531013613}, {""feature"": ""Avg Bwd Segment Size"", ""shap_value"": 0.06238276610521137}]"
ALERT-00055,110026,2026-08-12 13:03:24,10.0.89.187,192.168.202.81,DDoS,DDoS,0.999684497628628,CAMP-0020,CORR-0039,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08106874871721927}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07274654058248561}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07216678332812086}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.0693547906502634}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06580936070789334}]"
ALERT-00078,353444,2026-08-12 10:56:42,10.0.120.114,192.168.114.173,DDoS,DDoS,0.9996727290637036,CAMP-0027,CORR-0006,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.9351956844329834,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.10275701225988873}, {""feature"": ""Destination Port"", ""shap_value"": 0.07466683591221532}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06578390258104222}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.05934799129454466}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.058930829856228904}]"
ALERT-00053,731,2026-08-12 12:58:19,10.0.89.187,192.168.202.81,DDoS,DDoS,0.999684501325942,CAMP-0020,CORR-0039,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08150428613728217}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.0745967211603599}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07266284793741971}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06531035326143585}, {""feature"": ""Fwd Packet Length Std"", ""shap_value"": 0.06518308145452828}]"
ALERT-00104,299499,2026-08-12 13:19:14,10.0.230.41,192.168.191.221,DDoS,DDoS,0.9996821645839092,CAMP-0035,CORR-0026,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09962170848622223}, {""feature"": ""Destination Port"", ""shap_value"": 0.06280008373274928}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06164622460729678}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05964399477573464}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04882015998532199}]"
ALERT-00105,430291,2026-08-12 13:21:19,10.0.230.41,192.168.191.221,DDoS,DDoS,0.9996825506165088,CAMP-0035,CORR-0026,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09873325090119686}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06302504833591216}, {""feature"": ""Destination Port"", ""shap_value"": 0.061170690398716636}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05792366164230517}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04703342258984524}]"
ALERT-00106,170666,2026-08-12 13:22:35,10.0.230.41,192.168.191.221,DDoS,DDoS,0.9996844973940276,CAMP-0035,CORR-0026,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08067069791645952}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.0788385211923071}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07244860607735229}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.07039799689780933}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06955934151589728}]"
ALERT-00023,377231,2026-08-12 11:23:54,10.0.198.34,192.168.164.251,DDoS,DDoS,0.9996810713698756,CAMP-0009,CORR-0018,False,impact,,,91.55,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.10088561895328836}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.0650457690364089}, {""feature"": ""Destination Port"", ""shap_value"": 0.06486904200061812}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.06105672588111642}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04961252350214606}]"
ALERT-00005,483771,2026-08-12 13:57:00,10.0.160.145,192.168.26.19,PortScan,PortScan,0.9991783928988536,CAMP-0002,CORR-0008,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.9829993844032288,91.54,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.11079294506002894}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.05558653561110862}, {""feature"": ""Flow Bytes/s"", ""shap_value"": 0.045848746750326706}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.04483953982230519}, {""feature"": ""Destination Port"", ""shap_value"": 0.04253090796563528}]"
ALERT-00063,106914,2026-08-12 10:08:03,10.0.160.81,192.168.170.218,PortScan,PortScan,0.9991814052472968,CAMP-0023,CORR-0009,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.890918493270874,91.54,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.1107967369587429}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.055682235709429685}, {""feature"": ""Flow Bytes/s"", ""shap_value"": 0.046054820175000705}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.04421877583784523}, {""feature"": ""Destination Port"", ""shap_value"": 0.04217739045542221}]"
ALERT-00004,36251,2026-08-12 13:54:41,10.0.160.145,192.168.26.19,PortScan,PortScan,0.9986957216324928,CAMP-0002,CORR-0008,True,"impact, reconnaissance",Reconnaissance-to-DDoS Campaign,0.9829993844032288,91.52,Critical,1.0,Medium,"[{""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.10179498048298403}, {""feature"": ""Subflow Fwd Bytes"", ""shap_value"": 0.05128344665412666}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.04871733189877646}, {""feature"": ""Average Packet Size"", ""shap_value"": 0.043577492123746904}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.043418112391379576}]"
